id,birth_month,birth_year,education_dad,education_mom,drug_use_score,flag_female,flag_black,flag_hispanic,flag_divorce,school_quality,year,CV_CENSUS_REGION,education,hours_worked_since02,wage,log_wage,fte_experience,flag_working,flag_married,num_children,fte_experience_sq,age
5630,8,1981,12,12,0,0,0,0,0,2,2021,3,14,40055,15,2.70805020110221,20.0275,1,0,0,401.10075625,40
5634,9,1983,11,12,0,1,1,0,0,-1,2010,3,15,14611,14.35,2.66374994220563,7.3055,1,0,1,53.37033025,27
5634,9,1983,11,12,0,1,1,0,0,-1,2011,3,15,17799,11.52,2.444084655267745,8.8995,1,0,1,79.20110025,28
5634,9,1983,11,12,0,1,1,0,0,-1,2013,3,15,23344,12.63,2.5360749363624,11.672,1,0,1,136.23558400000002,30
5634,9,1983,11,12,0,1,1,0,0,-1,2015,3,15,27263,14.25,2.6567569067146595,13.6315,1,0,1,185.81779225000002,32
5634,9,1983,11,12,0,1,1,0,0,-1,2017,3,17,30956,11.5,2.4423470353692043,15.478,1,0,1,239.56848399999998,34
5634,9,1983,11,12,0,1,1,0,0,-1,2019,3,17,34811,13.24,2.5832425505088623,17.4055,1,0,0,302.95143025,36
5634,9,1983,11,12,0,1,1,0,0,-1,2021,3,17,38231,16.52,2.804571768092832,19.1155,1,0,0,365.40234025,38
5637,1,1980,12,12,0,1,1,0,0,4,2010,3,12,18577,13,2.5649493574615367,9.2885,1,0,3,86.27623225000002,30
5637,1,1980,12,12,0,1,1,0,0,4,2011,3,12,20632,13,2.5649493574615367,10.316,1,1,3,106.41985600000001,31
5637,1,1980,12,12,0,1,1,0,0,4,2013,3,12,26315,14,2.6390573296152584,13.1575,1,1,3,173.11980625,33
5637,1,1980,12,12,0,1,1,0,0,4,2015,3,12,32779,13.24,2.5832425505088623,16.3895,1,0,3,268.61571025000006,35
5637,1,1980,12,12,0,1,1,0,0,4,2017,3,12,36595,14,2.6390573296152584,18.2975,1,0,3,334.79850625,37
5637,1,1980,12,12,0,1,1,0,0,4,2019,3,12,40427,17,2.833213344056216,20.2135,1,0,0,408.58558225,39
5637,1,1980,12,12,0,1,1,0,0,4,2021,3,12,44363,20,2.995732273553991,22.1815,1,0,0,492.01894225,41
5638,3,1981,12,12,0,1,1,0,0,1,2010,3,14,17359,9.5,2.2512917986064953,8.6795,1,0,4,75.33372025000001,29
5638,3,1981,12,12,0,1,1,0,0,1,2011,3,14,18889,12,2.4849066497880004,9.4445,1,0,2,89.19858024999999,30
5638,3,1981,12,12,0,1,1,0,0,1,2013,3,14,22521,12.5,2.5257286443082556,11.2605,1,0,4,126.79886025,32
5638,3,1981,12,12,0,1,1,0,0,1,2015,3,14,26701,12.5,2.5257286443082556,13.3505,1,1,4,178.23585025,34
5638,3,1981,12,12,0,1,1,0,0,1,2017,3,14,31426,18,2.8903717578961645,15.713,1,1,3,246.89836899999997,36
5638,3,1981,12,12,0,1,1,0,0,1,2019,3,14,35711,21,3.044522437723423,17.8555,1,1,0,318.81888024999995,38
5638,3,1981,12,12,0,1,1,0,0,1,2021,3,14,40511,21,3.044522437723423,20.2555,1,1,0,410.2852802500001,40
5639,7,1982,12,12,0,0,1,0,0,-3,2010,3,13,7053,11,2.3978952727983707,3.5265,1,1,0,12.43620225,28
5639,7,1982,12,12,0,0,1,0,0,-3,2011,3,13,7693,15,2.70805020110221,3.8465,1,1,0,14.795562249999998,29
5639,7,1982,12,12,0,0,1,0,0,-3,2013,3,15,11853,17.25,2.847812143477369,5.9265,1,1,1,35.12340225,31
5639,7,1982,12,12,0,0,1,0,0,-3,2015,3,15,14533,16.5,2.803360380906535,7.2665,1,1,1,52.80202224999999,33
5639,7,1982,12,12,0,0,1,0,0,-3,2017,3,15,17413,13.18,2.578700529074361,8.7065,1,1,1,75.80314225000001,35
5639,7,1982,12,12,0,0,1,0,0,-3,2019,3,15,22071,17.51,2.8627721462977607,11.0355,1,1,0,121.78226025000002,37
5639,7,1982,12,12,0,0,1,0,0,-3,2021,3,15,25815,18.5,2.917770732084279,12.9075,1,1,0,166.60355625000003,39
5640,10,1983,12,12,0,0,1,0,0,-1,2010,3,12,3236,NA,NA,1.618,0,0,0,2.6179240000000004,27
5640,10,1983,12,12,0,0,1,0,0,-1,2013,3,12,7506,26,3.258096538021482,3.753,1,1,1,14.085009000000001,30
5640,10,1983,12,12,0,0,1,0,0,-1,2015,3,15,14239,32.05,3.467297183366679,7.1195,1,1,1,50.68728025000001,32
5640,10,1983,12,12,0,0,1,0,0,-1,2017,3,15,20263,27.98,3.331489969237335,10.1315,1,0,1,102.64729225000002,34
5640,10,1983,12,12,0,0,1,0,0,-1,2019,3,15,27751,32,3.4657359027997265,13.8755,1,1,0,192.52950025,36
5640,10,1983,12,12,0,0,1,0,0,-1,2021,3,16,30947,32,3.4657359027997265,15.4735,1,0,0,239.42920224999997,38
5642,7,1981,20,16,0,1,0,0,0,2,2010,3,13,12365,10,2.302585092994046,6.1825,1,1,0,38.22330625,29
5642,7,1981,20,16,0,1,0,0,0,2,2019,3,13,35449,17.23,2.8466520505398383,17.7245,1,1,0,314.15790024999995,38
5643,3,1983,14,12,0,0,0,0,0,3,2011,3,12,22142,18.22,2.9025198918318122,11.071,1,0,0,122.56704099999999,28
5643,3,1983,14,12,0,0,0,0,0,3,2013,3,12,24794,23.5,3.1570004211501135,12.397,1,0,0,153.685609,30
5643,3,1983,14,12,0,0,0,0,0,3,2015,3,12,28994,26.92,3.2928695047765273,14.497,1,0,0,210.163009,32
5643,3,1983,14,12,0,0,0,0,0,3,2017,3,12,28994,26.44,3.2748780149834857,14.497,1,0,0,210.163009,34
5643,3,1983,14,12,0,0,0,0,0,3,2019,3,12,33148,29.07,3.3697067145707846,16.574,1,0,0,274.69747600000005,36
5643,3,1983,14,12,0,0,0,0,0,3,2021,3,12,40268,31.25,3.4420193761824107,20.134,1,0,0,405.37795600000004,38
